City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
247,Grindavik,IS,63.8424,-22.4338,27.07,68,40,23.02,scattered clouds,2022-04-05 23:10:15
248,Taldan,RU,53.6667,124.8,19.26,44,16,14.52,few clouds,2022-04-05 23:10:15
249,Aasiaat,GL,68.7098,-52.8699,26.01,92,100,4.18,overcast clouds,2022-04-05 23:10:16
250,Chimbote,PE,-9.0853,-78.5783,71.29,77,48,9.22,scattered clouds,2022-04-05 23:10:16
251,Saint-Francois,FR,46.4154,3.9054,49.44,87,100,3.44,overcast clouds,2022-04-05 23:10:16
252,Mount Gambier,AU,-37.8333,140.7667,57.11,94,100,10.36,overcast clouds,2022-04-05 23:06:57
253,Mareeba,AU,-17.0,145.4333,79.52,80,92,0.87,overcast clouds,2022-04-05 23:10:16
254,Zyryanka,RU,65.75,150.85,-4.72,91,96,2.19,overcast clouds,2022-04-05 23:04:01
255,Boueni,YT,-12.9025,45.0761,78.78,75,4,1.23,clear sky,2022-04-05 23:03:08
256,Chuka,KE,-0.3332,37.6459,63.25,81,40,3.2,scattered clouds,2022-04-05 23:10:17
257,Aitape,PG,-3.1374,142.3475,79.52,81,100,3.2,overcast clouds,2022-04-05 23:10:17
258,Merauke,ID,-8.4667,140.3333,80.62,81,83,4.79,broken clouds,2022-04-05 23:04:49
259,Sao Luis Do Quitunde,BR,-9.3183,-35.5611,76.44,89,99,4.83,overcast clouds,2022-04-05 23:10:18
