City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
290,Todos Santos,67,MX,2022-04-04 08:11:45,80,23.45,-110.2167,61.66,11.34
291,Havre-Saint-Pierre,100,CA,2022-04-04 08:11:45,77,50.2334,-63.5986,24.13,6.71
292,Lagoa,49,PT,2022-04-04 08:11:45,70,39.05,-27.9833,58.17,7.56
293,Villaviciosa,78,ES,2022-04-04 08:08:24,89,43.4813,-5.4357,45.0,2.93
294,Puerto Madero,20,MX,2022-04-04 08:11:46,100,14.7208,-92.4215,73.6,0.0
295,Hinton,77,CA,2022-04-04 08:11:46,96,53.4001,-117.5857,25.84,3.56
296,Senador Jose Porfirio,100,BR,2022-04-04 08:11:46,99,-2.5908,-51.9542,73.22,1.19
297,Nemuro,17,JP,2022-04-04 08:11:46,90,43.3236,145.575,38.52,16.87
298,Eravur,73,LK,2022-04-04 08:11:47,63,7.7733,81.6095,86.02,8.52
299,Alpine,100,US,2022-04-04 08:11:47,92,32.835,-116.7664,54.79,1.28
300,Gamboma,76,CG,2022-04-04 08:11:47,67,-1.8764,15.8644,83.05,2.59
301,Teya,100,RU,2022-04-04 08:11:48,63,60.3778,92.6267,30.97,5.55
302,Grand-Lahou,100,CI,2022-04-04 08:11:48,89,5.1367,-5.0242,79.68,8.57
303,Krabi,100,TH,2022-04-04 08:11:48,89,8.0726,98.9105,76.98,10.22
304,Igrim,100,RU,2022-04-04 08:11:48,100,63.1906,64.4162,33.76,6.33
305,Groa,100,NO,2022-04-04 08:11:49,95,62.65,8.7167,30.92,7.2
306,Kieta,100,PG,2022-04-04 08:11:49,89,-6.2167,155.6333,80.01,14.23
307,Bagotville,0,AU,2022-04-04 08:11:49,90,-28.9833,153.4167,74.86,5.14
308,Lavrentiya,17,RU,2022-04-04 08:11:49,92,65.5833,-171.0,-10.84,10.04
309,Batagay,100,RU,2022-04-04 08:11:50,86,67.6333,134.6333,12.33,4.36
310,Aljezur,100,PT,2022-04-04 08:11:50,48,37.3191,-8.8033,49.08,13.0
311,Truro,100,GB,2022-04-04 08:08:11,100,50.2653,-5.0544,51.08,17.27
312,Coquimbo,100,CL,2022-04-04 08:11:50,100,-29.9533,-71.3436,55.13,2.3
313,Evensk,41,RU,2022-04-04 08:11:51,94,61.95,159.2333,11.23,3.6
314,Puebloviejo,100,CO,2022-04-04 08:11:51,77,10.9938,-74.2844,81.03,0.74
315,Kununurra,0,AU,2022-04-04 08:11:51,20,-15.7667,128.7333,98.58,5.75
316,Kudahuvadhoo,6,MV,2022-04-04 08:11:52,60,2.6708,72.8944,83.75,0.31
317,Georgetown,20,MY,2022-04-04 08:11:52,66,5.4112,100.3354,89.53,4.61
318,Kaitangata,100,NZ,2022-04-04 08:11:52,87,-46.2817,169.8464,54.59,4.7
319,Sioux Lookout,100,CA,2022-04-04 08:11:53,99,50.1001,-91.917,24.76,1.41
320,Saint Anthony,100,US,2022-04-04 08:11:53,92,45.0205,-93.218,34.66,14.97
321,San Lorenzo,100,PY,2022-04-04 08:12:48,100,-25.3333,-57.5333,70.74,2.3
322,Ligayan,84,PH,2022-04-04 08:12:53,71,4.6533,119.4706,83.71,9.22
323,Jacareacanga,81,BR,2022-04-04 08:12:53,100,-6.2222,-57.7528,71.06,0.81
324,Port Augusta,0,AU,2022-04-04 08:12:54,26,-32.5,137.7667,79.23,4.0
325,Hwange,68,ZW,2022-04-04 08:12:54,55,-18.3693,26.5019,81.54,5.37
326,Bandarbeyla,6,SO,2022-04-04 08:12:54,50,9.4942,50.8122,85.68,8.61
327,Rock Sound,24,BS,2022-04-04 08:12:55,72,24.9,-76.2,77.13,4.25
328,Fallon,0,US,2022-04-04 08:12:55,17,39.4735,-118.7774,53.92,8.05
329,Shetpe,100,KZ,2022-04-04 08:12:55,42,44.1667,52.1167,60.49,18.07
330,Ban Phai,93,TH,2022-04-04 08:09:14,35,16.06,102.731,83.16,10.98
331,Hobyo,100,SO,2022-04-04 08:12:56,59,5.3505,48.5268,85.59,10.49
332,Coffs Harbour,75,AU,2022-04-04 08:12:56,88,-30.3,153.1333,68.13,5.39
333,Menongue,80,AO,2022-04-04 08:12:56,81,-14.6585,17.691,70.16,3.69
334,Mangan,90,IN,2022-04-04 08:12:56,68,27.5167,88.5333,78.37,6.73
335,Alappuzha,19,IN,2022-04-04 08:12:57,69,9.49,76.3264,85.96,11.59
336,Abu Zabad,25,SD,2022-04-04 08:12:57,27,12.35,29.25,95.94,10.6
337,Kiama,0,AU,2022-04-04 08:12:57,58,-34.6833,150.8667,73.0,5.01
338,Talnakh,65,RU,2022-04-04 08:12:58,90,69.4865,88.3972,15.21,8.7
339,Leningradskiy,100,RU,2022-04-04 08:12:58,100,69.3833,178.4167,-12.98,1.41
340,Los Angeles,100,US,2022-04-04 08:11:54,88,34.0522,-118.2437,59.04,8.05
341,Makakilo City,40,US,2022-04-04 08:12:58,66,21.3469,-158.0858,73.72,23.02
342,West Bay,32,KY,2022-04-04 08:12:58,88,19.3667,-81.4167,78.01,7.0
343,Laguna De Perlas,35,NI,2022-04-04 08:12:59,84,12.3429,-83.6712,77.67,6.11
344,Puri,14,IN,2022-04-04 08:12:59,75,19.8,85.85,90.12,19.15
345,Okato,28,NZ,2022-04-04 08:12:59,84,-39.2,173.8833,59.92,2.95
346,Aklavik,100,CA,2022-04-04 08:13:00,96,68.2191,-135.0107,-12.86,10.87
347,Pangnirtung,100,CA,2022-04-04 08:13:00,96,66.1451,-65.7125,20.55,4.74
348,Skibbereen,100,IE,2022-04-04 08:13:00,91,51.55,-9.2667,51.12,14.23
349,Korla,0,CN,2022-04-04 08:13:01,14,41.7597,86.1469,71.87,12.03
350,Tiksi,100,RU,2022-04-04 08:13:01,97,71.6872,128.8694,4.84,9.33
351,Benemerito De Las Americas,5,MX,2022-04-04 08:13:01,89,16.5167,-90.6439,70.83,0.38
352,Mezen,71,RU,2022-04-04 08:13:01,86,65.8522,44.24,22.96,2.84
353,Lorengau,97,PG,2022-04-04 08:13:02,79,-2.0226,147.2712,82.6,8.95
354,Cidreira,100,BR,2022-04-04 08:13:02,96,-30.1811,-50.2056,67.82,6.73
355,Colares,0,PT,2022-04-04 08:13:02,43,38.7992,-9.4469,50.29,20.0
356,Jeremie,17,HT,2022-04-04 08:13:02,81,18.65,-74.1167,75.11,0.38
357,Guadalajara,0,MX,2022-04-04 08:11:59,28,20.6667,-103.3333,64.98,0.0
358,Blagoyevo,100,RU,2022-04-04 08:13:03,79,63.3667,47.9167,26.92,6.44
359,Sao Miguel Do Araguaia,32,BR,2022-04-04 08:13:03,74,-13.275,-50.1628,69.64,4.43
360,Rockhampton,7,AU,2022-04-04 08:13:03,61,-23.3833,150.5,80.49,6.91
361,Kyshtovka,100,RU,2022-04-04 08:13:04,100,56.555,76.6271,36.14,10.4
362,Luanda,75,AO,2022-04-04 08:13:04,83,-8.8368,13.2343,78.8,3.44
363,Dalbandin,4,PK,2022-04-04 08:13:04,5,28.8947,64.4101,91.15,0.81
364,Mendoza,0,AR,2022-04-04 08:13:05,42,-32.8908,-68.8272,49.24,0.81
365,Shumyachi,15,RU,2022-04-04 08:13:05,77,53.8583,32.4242,32.36,6.22
366,Lima,75,PE,2022-04-04 08:11:51,80,-12.0432,-77.0282,67.89,6.91
367,Turukhansk,100,RU,2022-04-04 08:13:06,65,65.8167,87.9833,27.01,14.61
368,Achalpur,4,IN,2022-04-04 08:13:06,7,21.2572,77.5086,105.62,9.55
369,Axim,100,GH,2022-04-04 08:14:06,79,4.8699,-2.2405,83.25,9.95
